time,lat,lng
08/29/13 13:01:40,37.7848647973,-122.386808332
08/29/13 13:01:50,37.784998158,-122.386750612
08/29/13 13:02:00,37.7850981786,-122.386707322
08/29/13 13:02:10,37.7851981992,-122.386664032
08/29/13 13:02:20,37.7852982197,-122.386620741
08/29/13 13:02:30,37.7853982403,-122.386577451
08/29/13 13:02:40,37.7855316011,-122.386519731
08/29/13 13:02:50,37.7856649618,-122.38646201
08/29/13 13:03:00,37.7857983226,-122.38640429
08/29/13 13:03:10,37.7858983432,-122.386361
08/29/13 13:03:20,37.7859983637,-122.386317709
08/29/13 13:03:30,37.7860983842,-122.386274419
08/29/13 13:03:40,37.7861984048,-122.386231129
08/29/13 13:03:50,37.7863317656,-122.386173409
08/29/13 13:04:00,37.7864651263,-122.386115688
08/29/13 13:04:10,37.7865984871,-122.386057968
08/29/13 13:04:20,37.7866985077,-122.386014678
08/29/13 13:04:30,37.7867985282,-122.385971388
08/29/13 13:04:40,37.7868985488,-122.385928097
08/29/13 13:04:50,37.7869985693,-122.385884807
08/29/13 13:05:00,37.7871319301,-122.385827087
08/29/13 13:05:10,37.7872652908,-122.385769366
08/29/13 13:05:20,37.7873986516,-122.385711646
08/29/13 13:05:30,37.7874986722,-122.385668356
08/29/13 13:05:40,37.7875986927,-122.385625065
08/29/13 13:05:50,37.7876987133,-122.385581775
08/29/13 13:06:00,37.7877987338,-122.385538485
08/29/13 13:06:10,37.7879320946,-122.385480765
08/29/13 13:06:20,37.7880654553,-122.385423044
08/29/13 13:06:30,37.7881988161,-122.385365324
08/29/13 13:06:40,37.7882988367,-122.385322034
08/29/13 13:06:50,37.7883988573,-122.385278744
08/29/13 13:07:00,37.7884988778,-122.385235453
08/29/13 13:07:10,37.7885988984,-122.385192163
08/29/13 13:07:20,37.7887322591,-122.385134443
08/29/13 13:07:30,37.7888656199,-122.385076722
08/29/13 13:07:40,37.7889989806,-122.385019002
08/29/13 13:07:50,37.7891323414,-122.384961282
08/29/13 13:08:00,37.7892657021,-122.384903561
08/29/13 13:08:10,37.7893990629,-122.384845841
08/29/13 13:08:20,37.7894990835,-122.384802551
08/29/13 13:08:30,37.789599104,-122.384759261
08/29/13 13:08:40,37.7896991245,-122.38471597
08/29/13 13:08:50,37.7897991451,-122.38467268
08/29/13 13:09:00,37.7899325059,-122.38461496
08/29/13 13:09:10,37.7900658666,-122.384557239
08/29/13 13:09:20,37.7901992274,-122.384499519
08/29/13 13:09:30,37.790299248,-122.384456229
08/29/13 13:09:40,37.7903992685,-122.384412938
08/29/13 13:09:50,37.790499289,-122.384369648
08/29/13 13:10:00,37.7905993096,-122.384326358
08/29/13 13:10:10,37.7907326704,-122.384268638
08/29/13 13:10:20,37.7908660311,-122.384210917
08/29/13 13:10:30,37.7909993919,-122.384153197
08/29/13 13:10:40,37.7910994125,-122.384109907
08/29/13 13:10:50,37.791199433,-122.384066617
08/29/13 13:11:00,37.7912994535,-122.384023326
