,0
"(26, 21)",869
"(47, 66)",3181
"(49, 69)",1876
"(68, 69)",1621
"(32, 27)",396
"(2, 10)",1788
"(47, 51)",1521
"(56, 41)",620
"(55, 51)",444
"(64, 57)",1562
"(50, 68)",1829
"(13, 80)",2652
"(60, 45)",1808
"(11, 6)",1044
"(68, 61)",1769
"(72, 56)",2387
"(39, 59)",1163
"(47, 75)",536
"(68, 76)",1282
"(56, 65)",3306
"(2, 5)",966
"(76, 60)",2882
"(5, 8)",877
"(47, 56)",765
"(65, 69)",831
"(56, 48)",1415
"(59, 77)",2115
"(64, 48)",2870
"(35, 36)",2877
"(74, 73)",1653
"(75, 77)",241
"(24, 23)",748
"(63, 41)",1520
"(65, 56)",3398
"(72, 63)",2262
"(39, 48)",2737
"(48, 56)",996
"(68, 75)",1016
"(69, 67)",2770
"(56, 72)",1962
"(76, 59)",1582
"(56, 55)",393
"(59, 66)",1422
"(60, 76)",2714
"(6, 16)",2121
"(64, 55)",1156
"(32, 32)",0
"(75, 66)",3193
"(8, 9)",2560
"(16, 14)",2748
"(54, 74)",1714
"(39, 41)",1804
"(48, 63)",1983
