Trip ID,Duration,Start Date
5419,399,8/30/2013 11:40
5422,683,8/30/2013 11:41
5425,364,8/30/2013 11:48
5426,232,8/30/2013 11:48
5440,408,8/30/2013 11:53
5442,494,8/30/2013 11:53
5452,847,8/30/2013 11:57
5457,2030,8/30/2013 11:57
5454,341,8/30/2013 11:57
5462,194,8/30/2013 11:58
5460,238,8/30/2013 11:58
5461,1117,8/30/2013 11:59
5465,177,8/30/2013 12:00
5466,434,8/30/2013 12:00
5464,8315,8/30/2013 12:00
5469,1798,8/30/2013 12:01
5470,648,8/30/2013 12:02
5471,639,8/30/2013 12:02
5472,8134,8/30/2013 12:03
5476,182,8/30/2013 12:04
5474,1596,8/30/2013 12:04
5473,241,8/30/2013 12:04
5477,794,8/30/2013 12:05
5478,1044,8/30/2013 12:05
5479,764,8/30/2013 12:05
5480,149,8/30/2013 12:05
5481,1023,8/30/2013 12:06
5482,1450,8/30/2013 12:06
5483,129,8/30/2013 12:07
5484,585,8/30/2013 12:08
5492,356,8/30/2013 12:09
5485,1114,8/30/2013 12:09
5488,444,8/30/2013 12:10
5486,710,8/30/2013 12:10
5487,452,8/30/2013 12:10
5489,724,8/30/2013 12:11
5491,335,8/30/2013 12:12
5490,907,8/30/2013 12:12
5494,1738,8/30/2013 12:13
